PLATFORM_CODE,PARAMETER_NAME,START_DATE,END_DATE,QUALITY_CODE,COMMENT,DAC
2901473,PSAL,20141126,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2901475,PSAL,20141218,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2901477,PSAL,20141125,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2901478,PSAL,20141130,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2901479,PSAL,20160428,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2901480,PSAL,20160427,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2901481,PSAL,20160427,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2901482,PSAL,20160427,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2901637,PSAL,20141111,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2901638,PSAL,20141108,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2901641,PSAL,20150409,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2901642,PSAL,20141110,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2901643,PSAL,20141217,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2901644,PSAL,20141216,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2902036,PSAL,20160325,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2902037,PSAL,20160325,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2902038,PSAL,20150404,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2902039,PSAL,20150405,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2902040,PSAL,20150405,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2902041,PSAL,20150406,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2902044,PSAL,20150908,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2902045,PSAL,20150909,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2902046,PSAL,20150909,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2902047,PSAL,20160621,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2902050,PSAL,20151010,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2902051,PSAL,20151009,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2902052,PSAL,20151012,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2902053,PSAL,20151008,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2902054,PSAL,20151009,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2902055,PSAL,20151003,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2902056,PSAL,20160426,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2902057,PSAL,20151003,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2902059,PSAL,20151105,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2902060,PSAL,20151130,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2902061,PSAL,20151125,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2902062,PSAL,20151216,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2902063,PSAL,20151217,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2902064,PSAL,20151108,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2902065,PSAL,20151108,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
2902389,PSAL,20190308,,4,sensor problem,AO
2902391,PSAL,20180506,,4,sensor problem,AO
2902398,PSAL,20170723,,4,salinity drift,AO
2903135,PSAL,20180531,,3,pump failure,AO
3900148,PSAL,20031108,,3,T (S) often (mostly) fill value,AO
3900148,TEMP,20031108,,3,T (S) often (mostly) fill value,AO
3900364,PSAL,20041218,,4,salinity drift,AO
3900437,PRES,20050517,,3,potential problem with bin assignment,AO
3900440,PSAL,20060707,,3,salinity drift,AO
3900442,PSAL,20070331,,3,sensor problem,AO
3900442,TEMP,20070331,,3,sensor problem,AO
3900478,PRES,20050819,,3,potential problem with bin assignment,AO
3900480,PRES,20050818,,3,potential problem with bin assignment,AO
3900484,PRES,20050920,,3,potential problem with bin assignment,AO
3900486,PRES,20060329,,3,sensor drift,AO
3900486,PSAL,20060329,,3,sensor drift,AO
3900490,PRES,20051007,,3,potential problem with bin assignment,AO
3900492,PSAL,20061203,,4,sensor problem,AO
3900492,TEMP,20061203,,4,sensor problem,AO
3900495,PSAL,20051030,,4,salinity drift,AO
3900564,PRES,20060124,,3,potential problem with bin assignment,AO
3900567,PRES,20060209,,3,potential problem with bin assignment,AO
3900568,PRES,20060210,,3,potential problem with bin assignment,AO
3900569,PRES,20060223,,3,potential problem with bin assignment,AO
3900570,PRES,20060223,,3,potential problem with bin assignment,AO
3900579,PRES,20060612,,3,potential problem with bin assignment,AO
3900581,PRES,20060702,,3,potential problem with bin assignment,AO
3900601,PRES,20060827,,3,sensor drift,AO
3900601,PSAL,20060827,,3,sensor drift,AO
3900602,PRES,20060409,,3,sensor drift,AO
3900602,PSAL,20060409,,3,sensor drift,AO
3900608,PRES,20060802,,3,potential problem with bin assignment,AO
3900670,PSAL,20180426,,4,salinity sensor drift,AO
3900738,PRES,20140926,,3,pressure microleak; no snowflake as of profile 184,AO
3900738,PSAL,20140926,,3,pressure microleak; no snowflake as of profile 184,AO
3900738,TEMP,20140926,,3,pressure microleak; no snowflake as of profile 184,AO
3900776,PSAL,20171212,,3,salinity sensor drift,AO
3900797,PSAL,20061218,,3,salinity drift,AO
3900845,PRES,20140804,,3,sensor problem,AO
3900845,PSAL,20140804,,3,sensor problem,AO
3900845,TEMP,20140804,,3,sensor problem,AO
3901037,PRES,20160827,,4,frozen profiles,AO
3901037,PSAL,20160827,,4,frozen profiles,AO
3901037,TEMP,20160827,,4,frozen profiles,AO
3901048,PSAL,20141019,,4,sensor problem,AO
3901063,PSAL,20170210,,3,sensor problem,AO
3901064,PSAL,20171008,,4,sensor problem,AO
3901105,PSAL,20150916,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
3901106,PSAL,20150917,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
3901107,PSAL,20150916,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
3901108,PSAL,20180225,,3,salinity drift,AO
3901109,PSAL,20171114,,3,sensor problem,AO
3901110,PSAL,20160724,,3,salinity drift,AO
3901111,PSAL,20171125,,4,sensor problem,AO
3901112,PSAL,20180725,,4,sensor drift,AO
3901113,PSAL,20150908,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
3901114,PSAL,20150913,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
3901121,PSAL,20121227,,4,sensor problem,AO
3901121,TEMP,20121227,,4,sensor problem,AO
3901122,PRES,20170504,,4,sensor problem,AO
3901122,PSAL,20170504,,4,sensor problem,AO
3901122,TEMP,20170504,,4,sensor problem,AO
3901124,PSAL,20121230,,4,sensor problem,AO
3901124,TEMP,20121230,,4,sensor problem,AO
3901125,PSAL,20121101,,4,sensor problem,AO
3901155,PSAL,20161221,,4,salinity drift,AO
3901164,PSAL,20190505,,4,sensor problem,AO
3901184,PSAL,20170818,,3,salinity sensor drift,AO
3901212,PSAL,20150524,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
3901214,PSAL,20180620,,4,sensor problem,AO
3901215,PSAL,20150525,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
3901216,PSAL,20161229,,4,sensor problem,AO
3901217,PSAL,20150526,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
3901218,PSAL,20180603,,4,sensor problem,AO
3901220,PSAL,20170424,,4,salinity drift,AO
3901221,PSAL,20150907,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
3901222,PSAL,20150910,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
3901225,PSAL,20150918,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
3901226,PSAL,20170228,,4,sensor problem,AO
3901227,PSAL,20150917,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
3901228,PSAL,20150912,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
3901229,PSAL,20150914,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
3901230,PSAL,20150915,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
3901243,PSAL,20170510,,4,salinity drift,AO
3901244,PRES,20151214,,4,sensor problem,AO
3901244,PSAL,20151214,,4,sensor problem,AO
3901244,TEMP,20151214,,4,sensor problem,AO
3901262,PSAL,20180101,,4,sensor problem,AO
3901263,PSAL,20180101,,4,sensor problem,AO
3901264,PSAL,20180101,,4,sensor problem,AO
3901268,PSAL,20181108,,4,sensor problem,AO
3901271,PSAL,20190830,,4,sensor problem,AO
3901285,PSAL,20180922,,4,salinity drift,AO
3901469,PSAL,20170921,,4,sensor problem,AO
3901469,TEMP,20170921,,4,sensor problem,AO
3901802,PSAL,20190504,,4,sensor problem,AO
3901816,PSAL,20190216,,4,sensor drift,AO
3901817,PSAL,20171118,,4,salinity drift,AO
4900229,PSAL,20020314,20020324,3,bad salinity below about 700 dbar,AO
4900230,PSAL,20030826,,3,frozen profile,AO
4900230,TEMP,20030826,,3,frozen profile,AO
4900268,PSAL,20030523,,3,frozen profile,AO
4900268,TEMP,20030523,,3,frozen profile,AO
4900270,PSAL,20030623,,3,frozen profile,AO
4900270,TEMP,20030623,,3,frozen profile,AO
4900271,PSAL,20030414,,3,frozen profile,AO
4900271,TEMP,20030414,,3,frozen profile,AO
4900272,PSAL,20030305,,3,frozen profile,AO
4900272,TEMP,20030305,,3,frozen profile,AO
4900273,PSAL,20030723,,3,frozen profile; recovered?,AO
4900273,TEMP,20030723,,3,frozen profile; recovered?,AO
4900358,PSAL,20040618,,3,frozen profile,AO
4900358,TEMP,20040618,,3,frozen profile,AO
4900361,PSAL,20040618,,3,frozen profile,AO
4900361,TEMP,20040618,,3,frozen profile,AO
4900366,PSAL,20040315,,3,frozen profile,AO
4900366,TEMP,20040315,,3,frozen profile,AO
4900367,PSAL,20040610,,3,frozen profile,AO
4900367,TEMP,20040610,,3,frozen profile,AO
4900382,PSAL,20040731,,3,frozen profile,AO
4900382,TEMP,20040731,,3,frozen profile,AO
4900385,PSAL,20040712,,3,frozen profile,AO
4900385,TEMP,20040712,,3,frozen profile,AO
4900427,PSAL,20040901,,3,frozen profile,AO
4900427,TEMP,20040723,20040901,3,frozen profile,AO
4900427,TEMP,20040901,,3,frozen profile,AO
4900428,PSAL,20040624,,3,frozen profile,AO
4900428,TEMP,20040624,,3,frozen profile,AO
4900489,PRES,20080212,,3,sensor problem,AO
4900489,PSAL,20080212,,3,sensor problem,AO
4900489,TEMP,20080212,,3,sensor problem,AO
4900590,PSAL,20061105,,3,salinity drift,AO
4900615,PRES,20050714,,3,potential problem with bin assignment,AO
4900616,PRES,20050714,,3,potential problem with bin assignment,AO
4900618,PRES,20050715,,3,potential problem with bin assignment,AO
4900622,PRES,20050719,,3,potential problem with bin assignment,AO
4900658,PSAL,20130331,,4,salinity drift,AO
4900686,PRES,20050922,,3,potential problem with bin assignment,AO
4900731,PRES,20060129,,3,potential problem with bin assignment,AO
4900732,PSAL,20060220,,3,sensor problem,AO
4900732,TEMP,20060220,,3,sensor problem,AO
4900745,PRES,20060219,,3,potential problem with bin assignment,AO
4900748,PRES,20060222,,3,potential problem with bin assignment,AO
4900750,PRES,20060302,,3,potential problem with bin assignment,AO
4900752,PRES,20060315,,3,potential problem with bin assignment,AO
4900753,PRES,20060606,,3,sensor drift,AO
4900753,PSAL,20060606,,3,sensor drift,AO
4900754,PRES,20060529,,3,potential problem with bin assignment,AO
4900755,PRES,20060529,,3,potential problem with bin assignment,AO
4900756,PRES,20060530,,3,potential problem with bin assignment,AO
4900758,PRES,20060601,,3,potential problem with bin assignment,AO
4900759,PRES,20060602,,3,potential problem with bin assignment,AO
4900771,PRES,20060626,,3,potential problem with bin assignment,AO
4900772,PRES,20060627,,3,potential problem with bin assignment,AO
4900778,PRES,20060726,,3,potential problem with bin assignment,AO
4900853,PRES,20130123,,3,pressure snowflake; microleak could start earlier; life-long TNPD,AO
4900853,PSAL,20130123,,3,pressure snowflake; microleak could start earlier; life-long TNPD,AO
4900853,TEMP,20130123,,3,pressure snowflake; microleak could start earlier; life-long TNPD,AO
4900858,PRES,20081023,,3,microleak,AO
4900858,PSAL,20081023,,3,microleak,AO
4900858,TEMP,20081023,,3,microleak,AO
4901046,PSAL,20140721,,3,sensor problem,AO
4901047,PRES,20101029,,4,sensor failure,AO
4901047,PSAL,20101029,,4,sensor failure,AO
4901047,TEMP,20101029,,4,sensor failure,AO
4901050,PRES,20120206,,3,pressure microleak; snowflake starting 26-07-2012,AO
4901050,PSAL,20120206,,3,pressure microleak; snowflake starting 26-07-2012,AO
4901050,TEMP,20120206,,3,pressure microleak; snowflake starting 26-07-2012,AO
4901210,PSAL,20150513,,4,salinity drift,AO
4901451,PSAL,20140407,,3,sensor problem,AO
4901453,PSAL,20160426,,4,salinity drift,AO
4901456,PSAL,20150117,,4,salinity drift,AO
4901475,PSAL,20130824,,4,salinity sensor problem,AO
4901476,PRES,20180429,,4,frozen CTD profile due to low voltage,AO
4901476,PSAL,20180429,,4,frozen CTD profile due to low voltage,AO
4901476,TEMP,20180429,,4,frozen CTD profile due to low voltage,AO
4901477,PRES,20180624,,4,frozen CTD profile due to low voltage,AO
4901477,PSAL,20180624,,4,frozen CTD profile due to low voltage,AO
4901477,TEMP,20180624,,4,frozen CTD profile due to low voltage,AO
4901480,PRES,20180615,,4,frozen CTD profile due to low voltage,AO
4901480,PSAL,20180615,,4,frozen CTD profile due to low voltage,AO
4901480,TEMP,20180615,,4,frozen CTD profile due to low voltage,AO
4901481,PRES,20161111,,4,frozen profiles,AO
4901481,PSAL,20161111,,4,frozen profiles,AO
4901481,TEMP,20161111,,4,frozen profiles,AO
4901483,PRES,20180522,,4,frozen profiles,AO
4901483,PSAL,20180522,,4,frozen profiles,AO
4901483,TEMP,20180522,,4,frozen profiles,AO
4901484,PSAL,20160704,,4,stuck value,AO
4901484,TEMP,20160704,,4,stuck value,AO
4901487,PSAL,20180105,,3,salinity drift,AO
4901568,PSAL,20140916,,4,sensor problem,AO
4901581,PRES,20180513,,4,stuck CTD profile,AO
4901581,PSAL,20180513,,4,stuck CTD profile,AO
4901581,TEMP,20180513,,4,stuck CTD profile,AO
4901582,PRES,20170920,,4,frozen profile due to low voltage,AO
4901582,PSAL,20170920,,4,frozen profile due to low voltage,AO
4901582,TEMP,20170920,,4,frozen profile due to low voltage,AO
4901586,PSAL,20130921,,4,sensor problem,AO
4901587,PRES,20180527,,4,frozen profiles,AO
4901587,PSAL,20180527,,4,frozen profiles,AO
4901587,TEMP,20180527,,4,frozen profiles,AO
4901590,PRES,20171211,,4,frozen profile,AO
4901590,PSAL,20171211,,4,frozen profile,AO
4901590,TEMP,20171211,,4,frozen profile,AO
4901595,PSAL,20141003,,4,salinity drift,AO
4901640,PSAL,20190201,,3,sensor problem,AO
4901642,PSAL,20131128,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
4901643,PSAL,20140424,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
4901644,PSAL,20140423,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
4901645,PSAL,20140623,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
4901647,PSAL,20131211,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
4901667,PSAL,20140420,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
4901668,PSAL,20140506,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
4901669,PSAL,20140506,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
4901670,PSAL,20140711,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
4901671,PSAL,20140713,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
4901672,PSAL,20140714,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
4901679,PRES,20141025,,4,sensor problem,AO
4901679,PSAL,20141025,,4,sensor problem,AO
4901679,TEMP,20141025,,4,sensor problem,AO
4902057,PSAL,20140830,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
4902059,PSAL,20141021,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
4902060,PSAL,20141024,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
4902061,PSAL,20141023,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
4902062,PSAL,20141113,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
4902063,PSAL,20141113,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
4902064,PSAL,20141115,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
4902065,PSAL,20150301,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
4902066,PSAL,20141129,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
4902067,PSAL,20141202,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
4902068,PSAL,20150221,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
4902069,PSAL,20141129,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
4902070,PSAL,20141203,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
4902071,PSAL,20150117,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
4902072,PSAL,20150117,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
4902073,PSAL,20150121,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
4902076,PSAL,20150909,,4,sensor drift,AO
4902091,PSAL,20150410,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
4902092,PSAL,20150411,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
4902093,PSAL,20150412,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
4902094,PSAL,20150409,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
4902095,PSAL,20150408,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
4902101,PSAL,20170111,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
4902102,PSAL,20151002,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
4902104,PSAL,20170719,,4,sensor problem,AO
4902105,PSAL,20151031,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
4902106,PSAL,20151031,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
4902107,PSAL,20151031,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
4902112,PSAL,20160618,,4,pump failure,AO
4902112,TEMP,20160618,,3,pump failure,AO
4902124,PSAL,20150722,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
